dir_uuid,log_version,log_size_kb,xml_size_kb,photo_size_kb,resumed,paused,short_break,save_count,screen_count,empty_form_warning_CC,empty_form_warning_time,empty_form_warning_visits,ok_continue_CC,ok_continue_time,ok_continue_visits,edit_saved_check_CC,edit_saved_check_time,edit_saved_check_visits,acknowledge_unlinked_CC,acknowledge_unlinked_time,acknowledge_unlinked_visits,close_exit_CC,close_exit_time,close_exit_visits,level1_unlinked_CC,level1_unlinked_time,level1_unlinked_visits,level2_unlinked_CC,level2_unlinked_time,level2_unlinked_visits,level3_unlinked_CC,level3_unlinked_time,level3_unlinked_visits,EA_unlinked_CC,EA_unlinked_time,EA_unlinked_visits,structure_unlinked_CC,structure_unlinked_time,structure_unlinked_visits,household_unlinked_CC,household_unlinked_time,household_unlinked_visits,photo_confirmation_CC,photo_confirmation_time,photo_confirmation_visits,photo_exists_CC,photo_exists_time,photo_exists_visits,photo_of_home_CC,photo_of_home_time,photo_of_home_visits,your_name_CC,your_name_time,your_name_visits,your_name_check_CC,your_name_check_time,your_name_check_visits,name_typed_CC,name_typed_time,name_typed_visits,system_date_CC,system_date_time,system_date_visits,system_date_check_CC,system_date_check_time,system_date_check_visits,manual_date_CC,manual_date_time,manual_date_visits,location_prompt_CC,location_prompt_time,location_prompt_visits,location_prompt_unlinked_CC,location_prompt_unlinked_time,location_prompt_unlinked_visits,level1_CC,level1_time,level1_visits,level2_CC,level2_time,level2_visits,level3_CC,level3_time,level3_visits,EA_CC,EA_time,EA_visits,structure_CC,structure_time,structure_visits,household_CC,household_time,household_visits,location_confirmation_CC,location_confirmation_time,location_confirmation_visits,name_check_CC,name_check_time,name_check_visits,available_CC,available_time,available_visits,aquainted_CC,aquainted_time,aquainted_visits,consent_start_CC,consent_start_time,consent_start_visits,consent_CC,consent_time,consent_visits,begin_interview_CC,begin_interview_time,begin_interview_visits,sign_CC,sign_time,sign_visits,checkbox_CC,checkbox_time,checkbox_visits,consent_warning_CC,consent_warning_time,consent_warning_visits,witness_auto_CC,witness_auto_time,witness_auto_visits,witness_manual_CC,witness_manual_time,witness_manual_visits,firstname_CC,firstname_time,firstname_visits,Section_1_CC,Section_1_time,Section_1_visits,bday_note_CC,bday_note_time,bday_note_visits,bday_note_unlinked_CC,bday_note_unlinked_time,bday_note_unlinked_visits,birthdate_CC,birthdate_time,birthdate_visits,FQ_age_CC,FQ_age_time,FQ_age_visits,age_warn_CC,age_warn_time,age_warn_visits,age_diff_CC,age_diff_time,age_diff_visits,age_same_CC,age_same_time,age_same_visits,age_CC,age_time,age_visits,school_CC,school_time,school_visits,marital_status_CC,marital_status_time,marital_status_visits,marriage_history_CC,marriage_history_time,marriage_history_visits,husband_cohabit_start_first_CC,husband_cohabit_start_first_time,husband_cohabit_start_first_visits,marriage_warning_first_CC,marriage_warning_first_time,marriage_warning_first_visits,husband_cohabit_start_recent_CC,husband_cohabit_start_recent_time,husband_cohabit_start_recent_visits,marriage_warning_recent_CC,marriage_warning_recent_time,marriage_warning_recent_visits,other_wives_CC,other_wives_time,other_wives_visits,husband_cohabit_now_CC,husband_cohabit_now_time,husband_cohabit_now_visits,Section_2_CC,Section_2_time,Section_2_visits,birth_events_CC,birth_events_time,birth_events_visits,birth_events_check_CC,birth_events_check_time,birth_events_check_visits,births_live_all_CC,births_live_all_time,births_live_all_visits,births_live_one_CC,births_live_one_time,births_live_one_visits,first_birth_CC,first_birth_time,first_birth_visits,recent_birth_CC,recent_birth_time,recent_birth_visits,penultimate_birth_CC,penultimate_birth_time,penultimate_birth_visits,child_alive_CC,child_alive_time,child_alive_visits,child_death_CC,child_death_time,child_death_visits,menstrual_period_CC,menstrual_period_time,menstrual_period_visits,menstrual_period_warning_1_CC,menstrual_period_warning_1_time,menstrual_period_warning_1_visits,menstrual_period_value_CC,menstrual_period_value_time,menstrual_period_value_visits,pregnant_CC,pregnant_time,pregnant_visits,menstrual_period_warning_2_CC,menstrual_period_warning_2_time,menstrual_period_warning_2_visits,menstrual_period_warning_3_CC,menstrual_period_warning_3_time,menstrual_period_warning_3_visits,rbq_CC,rbq_time,rbq_visits,rb_note_CC,rb_note_time,rb_note_visits,months_pregnant_CC,months_pregnant_time,months_pregnant_visits,menstrual_period_warning_4_CC,menstrual_period_warning_4_time,menstrual_period_warning_4_visits,future_prompt_CC,future_prompt_time,future_prompt_visits,more_children_none_CC,more_children_none_time,more_children_none_visits,more_children_some_CC,more_children_some_time,more_children_some_visits,more_children_pregnant_CC,more_children_pregnant_time,more_children_pregnant_visits,wait_birth_none_CC,wait_birth_none_time,wait_birth_none_visits,wait_birth_some_CC,wait_birth_some_time,wait_birth_some_visits,wait_birth_pregnant_CC,wait_birth_pregnant_time,wait_birth_pregnant_visits,wait_birth_value_CC,wait_birth_value_time,wait_birth_value_visits,birth_last_note_CC,birth_last_note_time,birth_last_note_visits,preg_curr_note_CC,preg_curr_note_time,preg_curr_note_visits,birth_desired_CC,birth_desired_time,birth_desired_visits,curr_desired_CC,curr_desired_time,curr_desired_visits,pregnancy_desired_CC,pregnancy_desired_time,pregnancy_desired_visits,Section_3_CC,Section_3_time,Section_3_visits,privacy_warn_CC,privacy_warn_time,privacy_warn_visits,heard_female_sterilization_CC,heard_female_sterilization_time,heard_female_sterilization_visits,heard_male_sterilization_CC,heard_male_sterilization_time,heard_male_sterilization_visits,heard_implants_CC,heard_implants_time,heard_implants_visits,heard_IUD_CC,heard_IUD_time,heard_IUD_visits,heard_injectables_CC,heard_injectables_time,heard_injectables_visits,heard_pill_CC,heard_pill_time,heard_pill_visits,heard_emergency_CC,heard_emergency_time,heard_emergency_visits,heard_male_condoms_CC,heard_male_condoms_time,heard_male_condoms_visits,heard_female_condoms_CC,heard_female_condoms_time,heard_female_condoms_visits,heard_beads_CC,heard_beads_time,heard_beads_visits,heard_LAM_CC,heard_LAM_time,heard_LAM_visits,heard_rhythm_CC,heard_rhythm_time,heard_rhythm_visits,heard_withdrawal_CC,heard_withdrawal_time,heard_withdrawal_visits,heard_other_CC,heard_other_time,heard_other_visits,current_user_CC,current_user_time,current_user_visits,current_method_CC,current_method_time,current_method_visits,current_method_check_CC,current_method_check_time,current_method_check_visits,lam_probe_CC,lam_probe_time,lam_probe_visits,sterlization_permanent_inform_CC,sterlization_permanent_inform_time,sterlization_permanent_inform_visits,knows_fp_sdp_CC,knows_fp_sdp_time,knows_fp_sdp_visits,future_user_not_current_CC,future_user_not_current_time,future_user_not_current_visits,future_user_pregnant_CC,future_user_pregnant_time,future_user_pregnant_visits,recent_user_CC,recent_user_time,recent_user_visits,recent_method_CC,recent_method_time,recent_method_visits,recent_method_check_CC,recent_method_check_time,recent_method_check_visits,bus_prompt_CC,bus_prompt_time,bus_prompt_visits,bus_rec_birth_CC,bus_rec_birth_time,bus_rec_birth_visits,bus_cur_marr_CC,bus_cur_marr_time,bus_cur_marr_visits,begin_using_CC,begin_using_time,begin_using_visits,stop_using_CC,stop_using_time,stop_using_visits,stop_using_why_CC,stop_using_why_time,stop_using_why_visits,fp_provider_CC,fp_provider_time,fp_provider_visits,fp_provider_check_CC,fp_provider_check_time,fp_provider_check_visits,fp_side_effects_CC,fp_side_effects_time,fp_side_effects_visits,fp_side_effects_instructions_CC,fp_side_effects_instructions_time,fp_side_effects_instructions_visits,fp_told_other_methods_CC,fp_told_other_methods_time,fp_told_other_methods_visits,fp_obtain_desired_CC,fp_obtain_desired_time,fp_obtain_desired_visits,fp_obtain_desired_whynot_CC,fp_obtain_desired_whynot_time,fp_obtain_desired_whynot_visits,fp_final_decision_CC,fp_final_decision_time,fp_final_decision_visits,return_to_provider_CC,return_to_provider_time,return_to_provider_visits,refer_to_relative_CC,refer_to_relative_time,refer_to_relative_visits,fees_12months_CC,fees_12months_time,fees_12months_visits,fees_12months_amount_CC,fees_12months_amount_time,fees_12months_amount_visits,fp_ever_user_CC,fp_ever_user_time,fp_ever_user_visits,age_at_first_use_CC,age_at_first_use_time,age_at_first_use_visits,age_at_first_use_check_CC,age_at_first_use_check_time,age_at_first_use_check_visits,age_at_first_use_children_CC,age_at_first_use_children_time,age_at_first_use_children_visits,age_at_first_use_children_warning_CC,age_at_first_use_children_warning_time,age_at_first_use_children_warning_visits,first_method_CC,first_method_time,first_method_visits,first_method_check_CC,first_method_check_time,first_method_check_visits,want_none_CC,want_none_time,want_none_visits,want_some_CC,want_some_time,want_some_visits,nowant_none_CC,nowant_none_time,nowant_none_visits,nowant_some_CC,nowant_some_time,nowant_some_visits,why_not_using_CC,why_not_using_time,why_not_using_visits,why_not_using_check_CC,why_not_using_check_time,why_not_using_check_visits,visited_by_health_worker_CC,visited_by_health_worker_time,visited_by_health_worker_visits,visited_fac_none_CC,visited_fac_none_time,visited_fac_none_visits,visited_fac_some_CC,visited_fac_some_time,visited_fac_some_visits,facility_fp_discussion_CC,facility_fp_discussion_time,facility_fp_discussion_visits,fp_ad_prompt_CC,fp_ad_prompt_time,fp_ad_prompt_visits,fp_ad_label_CC,fp_ad_label_time,fp_ad_label_visits,fp_ad_radio_CC,fp_ad_radio_time,fp_ad_radio_visits,fp_ad_tv_CC,fp_ad_tv_time,fp_ad_tv_visits,fp_ad_magazine_CC,fp_ad_magazine_time,fp_ad_magazine_visits,privacy_warn2_CC,privacy_warn2_time,privacy_warn2_visits,afsq_CC,afsq_time,afsq_visits,age_note_CC,age_note_time,age_note_visits,birth_note_CC,birth_note_time,birth_note_visits,preg_note_CC,preg_note_time,preg_note_visits,age_at_first_sex_CC,age_at_first_sex_time,age_at_first_sex_visits,age_at_first_sex_check_1_CC,age_at_first_sex_check_1_time,age_at_first_sex_check_1_visits,age_at_first_sex_check_2_CC,age_at_first_sex_check_2_time,age_at_first_sex_check_2_visits,age_at_first_sex_check_3_CC,age_at_first_sex_check_3_time,age_at_first_sex_check_3_visits,ltsq_CC,ltsq_time,ltsq_visits,mos_preg_CC,mos_preg_time,mos_preg_visits,nomos_preg_CC,nomos_preg_time,nomos_preg_visits,last_time_sex_CC,last_time_sex_time,last_time_sex_visits,last_time_sex_value_CC,last_time_sex_value_time,last_time_sex_value_visits,Section_4_CC,Section_4_time,Section_4_visits,collect_water_dry_CC,collect_water_dry_time,collect_water_dry_visits,collect_water_dry_value_CC,collect_water_dry_value_time,collect_water_dry_value_visits,collect_water_wet_CC,collect_water_wet_time,collect_water_wet_visits,collect_water_wet_value_CC,collect_water_wet_value_time,collect_water_wet_value_visits,thankyou_CC,thankyou_time,thankyou_visits,location_CC,location_time,location_visits,times_visited_CC,times_visited_time,times_visited_visits,FRS_result_CC,FRS_result_time,FRS_result_visits
RJR1 Female Questionnaire v25_2016-05-31_11-35-03-29,,5,0,3544,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR1 Female Questionnaire v25_2016-05-31_11-35-06-54,,6,0,3546,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR1 Female Questionnaire v25_2016-05-31_11-35-08-19,,5,0,3544,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR1 Female Questionnaire v25_2016-06-01_10-45-19-01,,6,0,2461,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR1 Female Questionnaire v25_2016-06-01_11-20-10-76,,6,0,2652,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR1 Female Questionnaire v25_2016-06-01_12-21-46-82,,5,0,3197,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR1 Female Questionnaire v25_2016-06-02_10-44-31-69,,6,0,3494,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR1 Female Questionnaire v25_2016-06-02_11-42-00-88,,5,0,3355,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR1 Female Questionnaire v25_2016-06-02_12-46-15-73,,5,0,2843,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR1 Female Questionnaire v25_2016-06-02_12-46-17-29,,4,0,2836,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
